,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
18WBES5-123456-T,10YES-REE------0,859,BESOS 5,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WBRR1-12345-0H,10YES-REE------0,570,BARRIOS,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
18WCAMGI10-12-07,10YES-REE------0,392.6,CAMPGIB1,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCAMGI20--1-0D,10YES-REE------0,387.9,CAMPGIB2,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCOF1-12345-0O,10YES-REE------0,1063.9,COFRENTES,Nuclear,2023-12-31 23:00:00+00:00,400
18WCOL4-12345-02,10YES-REE------0,390.9,COLON 4,Fossil Gas,2023-12-31 23:00:00+00:00,220
18WCTGN1-1234-0C,10YES-REE------0,418.2,ESC CART 1,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTGN2-1234-03,10YES-REE------0,417.8,ESC CART 2,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTGN3-1234-0V,10YES-REE------0,412.7,ESC CART 3,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTJON1-123-06,10YES-REE------0,424.9,CASTEJO1 H,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTJON2-123-0Z,10YES-REE------0,378.9,CASTEJO2 I,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTJON3--1234S,10YES-REE------0,418.4,CASTEJO3 H,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTN3-12345-04,10YES-REE------0,782,CASTELLO 3,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTN4-123456-C,10YES-REE------0,839.3,CASTELLO 4,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WCTNU-12345-0U,10YES-REE------0,790.6,CASTELNOU,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WDUEB-12345-0Z,10YES-REE------0,1308,DUERO B,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,400
18WDUER-12345-0N,10YES-REE------0,3543.3,DUERO G,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,400
18WEBRA-12345-06,10YES-REE------0,211.6,EBRO ALTO,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,132
18WEBRACC1-123-Y,10YES-REE------0,376.4,EBRACC1,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WEBRACC2-123-R,10YES-REE------0,162,EBRACC2,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WEBRFEN-123-0T,10YES-REE------0,1870.7,ENH-FEC-GR,Hydro Water Reservoir,2023-12-31 23:00:00+00:00,220
18WECT2-123456-X,10YES-REE------0,274.6,ECT2,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WECT3-123456-N,10YES-REE------0,804.3,ESCAT3,Fossil Gas,2023-12-31 23:00:00+00:00,400
18WECYLEO-1234-7,10YES-REE------0,140.6,ECYLEO,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEEGPEM-1234-9,10YES-REE------0,1039.3,EEGPEM,Wind Onshore,2023-12-31 23:00:00+00:00,400
18WEELRI-1234-1R,10YES-REE------0,106.8,EELRI,Wind Onshore,2023-12-31 23:00:00+00:00,220
