,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
11WD2W2--0002757,10Y1001A1001A82H,480,Waldeck II,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
11WD2WBNK000318M,10Y1001A1001A82H,123,HKW Nord,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
11WD2WBWK000317H,10Y1001A1001A82H,277,HKW West,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
11WD2WILK000286V,10Y1001A1001A82H,726,Kraftwerk Wilhelmshaven,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD2ZOLL0002880,10Y1001A1001A82H,472,Kraftwerk Zolling,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD43VIWXHOILLM,10Y1001A1001A82H,2142,Vorarlberger Illwerke AG,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
11WD4AL1KU1-S--E,10Y1001A1001A82H,595,HKW Altbach/Deizisau,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD4DAXLA-S---T,10Y1001A1001A82H,1347,Rheinhafen-Dampfkraftwerk Karlsruhe,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD4GKM-2CD4--J,10Y1001A1001A82H,607.1,GKM AG TNG,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
11WD4GKM-2CD7--7,10Y1001A1001A82H,404.8,GKM AG Amprion,Fossil Hard coal,2023-12-31 23:00:00+00:00,220
11WD4GKM-XCD0--3,10Y1001A1001A82H,111.2,GKM AG DBEnergie,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
11WD4HLBR1CS---A,10Y1001A1001A82H,778,HKW Heilbronn,Fossil Hard coal,2023-12-31 23:00:00+00:00,380
11WD4IFFE5G----Z,10Y1001A1001A82H,146,Rheinkraftwerk Iffezheim,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,110
11WD4KWLFB5-S--M,10Y1001A1001A82H,106,KW Laufenburg,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
11WD4KWRHF5-S--Z,10Y1001A1001A82H,100,KW Rheinfelden DE,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
11WD4MUST5G----B,10Y1001A1001A82H,178.9,HKW Stuttgart-Münster,Waste,2023-12-31 23:00:00+00:00,110
11WD4MUST5O-GT-R,10Y1001A1001A82H,124,HKW Stuttgart-Muenster GTX,Fossil Gas,2025-12-31 23:00:00+00:00,110
11WD4SAEK2HS---S,10Y1001A1001A82H,180,Schluchseewerk AG,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
11WD4SWSW5HD4--R,10Y1001A1001A82H,258,Schluchseewerk AG,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
11WD4SWSW5HD7--F,10Y1001A1001A82H,870,Schluchsee,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,380
11WD4WALK5G----E,10Y1001A1001A82H,136,Kraftwerk Walheim,Fossil Oil,2023-12-31 23:00:00+00:00,110
11WD4WEHR1HS---G,10Y1001A1001A82H,455,Schluchseewerk AG,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
11WD72VIA2H-KW-0,10Y1001A1001A82H,1294,Vianden,Hydro Pumped Storage,2023-12-31 23:00:00+00:00,220
11WD7BEEC5XHAKW5,10Y1001A1001A82H,385,HAMBORN-KW,Fossil Coal-derived gas,2023-12-31 23:00:00+00:00,110
11WD7BEEC5XRUKWN,10Y1001A1001A82H,320,RUHRORT-KW,Fossil Coal-derived gas,2023-12-31 23:00:00+00:00,110
